date,case_count,percent
1998-07,2,40.0
1999-01,2,66.6667
1999-02,1,33.3333
1999-04,1,25.0
1999-07,1,25.0
1999-08,1,33.3333
1999-09,2,100.0
2000-10,1,16.6667
2001-02,1,25.0
2001-03,1,33.3333
2001-07,5,83.3333
2001-09,1,33.3333
2001-10,1,33.3333
2002-01,1,50.0
2002-02,3,50.0
2002-04,2,50.0
2002-05,2,66.6667
2002-06,2,33.3333
2002-08,5,100.0
2002-09,2,40.0
2002-10,1,100.0
2003-01,1,25.0
2003-02,4,57.1429
2003-03,1,33.3333
2003-04,4,57.1429
2003-05,3,75.0
2003-06,1,33.3333
2003-07,3,60.0
2003-08,1,33.3333
2003-09,3,50.0
2003-10,5,83.3333
2003-11,1,33.3333
2004-01,3,30.0
2004-02,5,100.0
2004-03,2,33.3333
2004-04,2,40.0
2004-05,8,61.5385
2004-06,2,33.3333
2004-07,3,33.3333
2004-08,4,33.3333
2004-09,1,14.2857
2004-11,4,44.4444
2004-12,3,33.3333
2005-01,2,33.3333
2005-02,2,22.2222
2005-03,1,16.6667
2005-04,2,25.0
2005-05,1,14.2857
2005-06,4,40.0
2005-09,2,18.1818
2005-10,2,22.2222
2005-11,1,20.0
2006-02,6,31.5789
2006-04,5,41.6667
2006-06,1,25.0
2006-07,2,20.0
2006-08,4,33.3333
2006-09,2,16.6667
2006-10,2,40.0
2006-11,4,50.0
2007-01,1,11.1111
2007-02,3,10.7143
2007-03,1,1.9231
2007-04,7,17.5
2007-05,11,21.5686
2007-06,9,10.8434
2007-07,14,18.6667
2007-08,3,5.6604
2007-09,8,8.5106
2007-10,11,22.0
2007-11,9,12.5
2007-12,11,26.8293
2008-01,7,14.8936
2008-02,6,15.3846
2008-03,15,24.5902
2008-04,18,23.6842
2008-05,12,19.3548
2008-06,12,17.1429
2008-07,17,22.3684
2008-08,23,25.5556
2008-09,11,14.8649
2008-10,20,23.5294
2008-11,17,23.9437
2008-12,26,27.0833
2009-01,27,36.9863
2009-02,27,36.4865
2009-03,37,32.7434
2009-04,33,27.2727
2009-05,28,28.5714
2009-06,36,33.3333
2009-07,37,26.4286
2009-08,28,27.451
2009-09,38,31.6667
2009-10,43,40.1869
2009-11,32,28.0702
2009-12,42,40.7767
2010-01,41,34.7458
2010-02,39,30.0
2010-03,70,38.0435
2010-04,71,40.113
2010-05,55,34.1615
2010-06,65,34.9462
2010-07,57,44.5313
2010-08,84,38.7097
2010-09,70,34.4828
2010-10,88,45.5959
2010-11,72,35.8209
2010-12,77,42.3077
2011-01,83,39.1509
2011-02,97,38.8
2011-03,100,38.0228
2011-04,107,43.8525
2011-05,105,40.3846
2011-06,134,43.5065
